"company","sum"
"Mainstreet","45"
"Laybuy","45"
"Peek","45"
"Acko","45"
"Redox","44"
"Tomo","44"
"Chainalysis","44"
"Ahead","44"
"Passport","44"
"Luxury Presence","44"
"Shelf Engine","43"
"WalkMe","43"
"Elinvar","43"
"TheSkimm","43"
"Inscripta","43"
"Postscript","43"
"Bustle Digital Group","43"
"Mode Analytics","42"
"Unstoppable Domains","42"
"Food52","41"
"Embark","41"
"Peerspace","41"
"Bestow","41"
"Treehouse","41"
"Stash Financial","40"
"Clinc","40"
"Mux","40"
"Innovid","40"
"The Grommet","40"
"Hodlnaut","40"
"Intrinsic","40"
"Divvy Homes","40"
"Eruditus","40"
"Relevel","40"
"Shuttl","40"
"Etermax","40"
"PharmEasy","40"
"Brave Care","40"
"Moglix","40"
"Lightico","40"
"InDebted","40"
"Snowplow","40"
"KiwiCo","40"
"TikTok India","40"
"FreshDirect","40"
"Koo","40"
"Siteimprove","40"
"Grover","40"
"Eden / Managed By Q","40"
"Labster","40"
"Absci","40"
"StreamElements","40"
"Wistia","40"
"Eat Just","40"
"Community","40"
"Adwerx","40"
"Daloopa","40"
"BharatAgri","40"
"Parsable","40"
"Lighter Capital","40"
"Oh My Green","40"
"Vial","40"
"Oye Rickshaw","40"
"SpotHero","40"
"TrueLayer","40"
"BitSight","40"
"StrongDM","40"
"PartnerStack","40"
"Astra","40"
"Stack Overflow","40"
"PaySense","40"
"Cloudinary","40"
"Ideoclick","40"
"Navi","40"
"EVgo","40"
"Kiavi","39"
"Builder","39"
"Jobcase","39"
"Freshbooks","38"
"Articulate","38"
"Immersive Labs","38"
"M1","38"
"The Guild","38"
"Outbrain","38"
"Springbig","37"
"Capitolis","37"
"Flockjay","37"
"Hireology","36"
"Plum","36"
"Labelbox","36"
"Ada Support","36"
"Culture Amp","36"
"Copper","35"
"Anodot","35"
"Dynamic Signal","35"
"WorkRamp","35"
"OpenX","35"
"Kabam","35"
"Jetty","35"
"Superpedestrian","35"
"Sweetgreen","35"
"Ridecell","35"
"Linkfire","35"
"Monese","35"
"Frontdesk","35"
"TealBook","34"
"Lola","34"
"Appgate","34"
"D2iQ","34"
"Candy Digital","33"
"Movidesk","33"
"Studio","33"
"Vee","33"
"Citizen","33"
"Loftium","32"
"Stash","32"
"Advata","32"
"AtoB","32"
"Section4","32"
"Skillshare","31"
"REE Automotive","31"
"Beam Benefits","31"
"Skedulo","31"
"Maven","31"
"Enjoei","31"
"CaptivateIQ","31"
"Uberflip","31"
"Stashaway","31"
"Clue","31"
"Thread","30"
"Booktopia","30"
"Zencity","30"
"Bevi","30"
"Tomorrow","30"
"EquityZen","30"
"Superloop","30"
"Lawgeex","30"
"Overtime","30"
"Edifecs","30"
"Lev","30"
"Hunty","30"
"OKCredit","30"
"CyCognito","30"
"People.ai","30"
"Personetics","30"
"Permutive","30"
"Lusha","30"
"Coterie Insurance","30"
"Worksmith","30"
"Blume Global","30"
"Pecan AI","30"
"Betterfly","30"
"Textio","30"
"Ermetic","30"
"Synapsica","30"
"Bright Machines","30"
"Waze","30"
"FiscalNote","30"
"DataRails","30"
"Airtime","30"
"Hydrow","30"
"BeeTech","30"
"Veem","30"
"Coinsquare","30"
"Nestcoin","30"
"Gather","30"
"Sauce Labs","30"
"Submittable","30"
"Twine Solutions ","30"
"Emotive","30"
"Getta","30"
"Fireblocks","30"
"Catalant","30"
"Bullish","30"
"SQream","30"
"TCR2","30"
